Line_Indicator,Species_IS,Wlength_Interval_Min_A,Wlength_Interval_Min_A,Wlength_Central_A,HR_Index,Science_Case; Comment,Element_Group; Nucleosynthesis_Channel,MSE_SWG
Ca II-IRT,20.1,8451.0,8453.0,8542.0900,NaN,radial velocities - RAVE / Gaia calibrations - zero points; abundances,alpha element,SWG2SWG3
Ca II-IRT,20.1,8497.0,8499.0,8498.0200,NaN,radial velocities - RAVE / Gaia calibrations - zero points; abundances,alpha element,SWG2SWG3
Cs I,55.0,8510.0,8530.0,8521.1317,NaN,Brown dwarfs and exoplanets,neutron capture; r-process,SWG2SWG3
DIB 8620,DIB,8610.0,8630.0,NaN,NaN,"diffuse interstellar bands, ISM conditions; NOT NIST",DIB,SWG2SWG3
Fe I,26.0,8611.0,8613.0,8611.8034,NaN,FGK stars,Fe-peak; Fe,SWG2SWG3
Fe I,26.0,8621.0,8623.0,8621.6001,NaN,FGK stars,Fe-peak; Fe,SWG2SWG3
Ca II-IRT,20.1,8661.0,8663.0,8662.1400,NaN,radial velocities - RAVE / Gaia calibrations - zero points; abundances,alpha element,SWG2SWG3
Fe I,26.0,8688.0,8690.0,8688.6249,NaN,FGK stars,Fe-peak; Fe,SWG2SWG3
Ti I,22.0,8691.0,8693.0,8692.3290,NaN,FGK stars,Fe-peak; alpha,SWG2SWG3
S I,16.0,8693.0,8695.0,8694.0000,NaN,Solar twins,alpha element,SWG2SWG3
S I,16.0,8694.0,8696.0,8694.7100,NaN,Solar twins,alpha element,SWG2SWG3
Al I,13.0,8772.0,8774.0,8772.8660,NaN,Solar twins,light,SWG2SWG3
Al I,13.0,8773.0,8775.0,8773.8960,NaN,Solar twins,light,SWG2SWG3
Mg I,12.0,8806.0,8808.0,8806.7570,NaN,FGK stars,alpha element,SWG2SWG3
Fe I,26.0,8846.0,8848.0,8846.7401,NaN,FGK stars,Fe-peak; Fe,SWG2SWG3
V I,23.0,8932.0,8934.0,8932.9450,NaN,FGK stars,Fe-peak; alpha,SWG2SWG3
